cell	bio_celltype
608	(5) Smooth muscle cells/ fibroblast-like
609	(14) Cells related to cardiac neural crest
610	(14) Cells related to cardiac neural crest
611	(5) Smooth muscle cells/ fibroblast-like
612	(5) Smooth muscle cells/ fibroblast-like
613	(2) Fribroblast-like (AV mesenchyme related)
614	(2) Fribroblast-like (AV mesenchyme related)
615	(5) Smooth muscle cells/ fibroblast-like
616	(5) Smooth muscle cells/ fibroblast-like
617	(5) Smooth muscle cells/ fibroblast-like
618	(5) Smooth muscle cells/ fibroblast-like
619	(5) Smooth muscle cells/ fibroblast-like
620	(5) Smooth muscle cells/ fibroblast-like
621	(2) Fribroblast-like (AV mesenchyme related)
622	(2) Fribroblast-like (AV mesenchyme related)
623	(5) Smooth muscle cells/ fibroblast-like
624	(2) Fribroblast-like (AV mesenchyme related)
625	(5) Smooth muscle cells/ fibroblast-like
627	(5) Smooth muscle cells/ fibroblast-like
628	(14) Cells related to cardiac neural crest
629	(3) Subepicardial cells
630	(3) Subepicardial cells
631	(5) Smooth muscle cells/ fibroblast-like
632	(5) Smooth muscle cells/ fibroblast-like
633	(4) Fribroblast-like (coronary & mediastinal vasculature related)
634	(5) Smooth muscle cells/ fibroblast-like
635	(3) Subepicardial cells
636	(5) Smooth muscle cells/ fibroblast-like
637	(3) Subepicardial cells
638	(4) Fribroblast-like (coronary & mediastinal vasculature related)
639	(5) Smooth muscle cells/ fibroblast-like
640	(5) Smooth muscle cells/ fibroblast-like
641	(5) Smooth muscle cells/ fibroblast-like
642	(8) Fibroblast-like (outflow tract & valve related)
643	(5) Smooth muscle cells/ fibroblast-like
644	(2) Fribroblast-like (AV mesenchyme related)
645	(4) Fribroblast-like (coronary & mediastinal vasculature related)
646	(5) Smooth muscle cells/ fibroblast-like
647	(3) Subepicardial cells
648	(5) Smooth muscle cells/ fibroblast-like
649	(3) Subepicardial cells
653	(8) Fibroblast-like (outflow tract & valve related)
654	(0) Capillary endothelium
655	(5) Smooth muscle cells/ fibroblast-like
656	(2) Fribroblast-like (AV mesenchyme related)
657	(0) Capillary endothelium
658	(5) Smooth muscle cells/ fibroblast-like
659	(5) Smooth muscle cells/ fibroblast-like
660	(8) Fibroblast-like (outflow tract & valve related)
661	(8) Fibroblast-like (outflow tract & valve related)
662	(4) Fribroblast-like (coronary & mediastinal vasculature related)
663	(4) Fribroblast-like (coronary & mediastinal vasculature related)
664	(2) Fribroblast-like (AV mesenchyme related)
665	(8) Fibroblast-like (outflow tract & valve related)
666	(8) Fibroblast-like (outflow tract & valve related)
667	(2) Fribroblast-like (AV mesenchyme related)
668	(10) Endothelium/ pericytes/ adventia
669	(5) Smooth muscle cells/ fibroblast-like
670	(3) Subepicardial cells
671	(5) Smooth muscle cells/ fibroblast-like
674	(2) Fribroblast-like (AV mesenchyme related)
675	(5) Smooth muscle cells/ fibroblast-like
677	(4) Fribroblast-like (coronary & mediastinal vasculature related)
678	(10) Endothelium/ pericytes/ adventia
679	(5) Smooth muscle cells/ fibroblast-like
680	(5) Smooth muscle cells/ fibroblast-like
681	(5) Smooth muscle cells/ fibroblast-like
682	(5) Smooth muscle cells/ fibroblast-like
683	(5) Smooth muscle cells/ fibroblast-like
685	(4) Fribroblast-like (coronary & mediastinal vasculature related)
686	(5) Smooth muscle cells/ fibroblast-like
688	(5) Smooth muscle cells/ fibroblast-like
689	(4) Fribroblast-like (coronary & mediastinal vasculature related)
690	(5) Smooth muscle cells/ fibroblast-like
691	(5) Smooth muscle cells/ fibroblast-like
692	(5) Smooth muscle cells/ fibroblast-like
693	(5) Smooth muscle cells/ fibroblast-like
694	(5) Smooth muscle cells/ fibroblast-like
696	(5) Smooth muscle cells/ fibroblast-like
697	(5) Smooth muscle cells/ fibroblast-like
