spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
4767_1908	2	0	1	0	0	0	0	0	0	20	0	0
4767_2332	3	0	0	1	0	0	0	0	0	29	0	0
4767_2756	1	0	3	0	0	0	0	0	0	20	0	0
4767_3180	0	0	0	0	0	0	0	0	0	10	0	0
4767_5724	0	0	2	0	0	0	0	0	0	3	0	0
4767_6148	0	0	1	0	0	0	0	0	0	1	0	0
4767_6572	1	0	2	0	0	0	0	0	0	3	1	0
4767_6996	0	0	1	1	0	0	0	0	0	2	0	0
4767_7420	0	0	0	0	0	0	0	0	0	4	0	0
4767_8268	0	0	0	0	0	1	0	0	0	0	0	0
4767_8692	0	6	2	8	0	6	3	2	1	3	4	0
4767_9116	1	3	2	14	0	4	1	0	0	3	1	0
4767_9540	3	2	2	14	0	2	0	0	0	2	0	0
4767_9964	2	2	1	6	0	0	0	0	0	0	1	0
4767_10388	6	0	2	2	0	0	0	0	0	1	0	0
4767_10812	4	0	2	1	0	0	0	0	0	0	0	0
4767_11236	0	0	1	0	0	0	0	0	0	0	0	0
4767_11660	6	0	1	4	0	0	0	0	0	1	0	0
4767_12084	1	0	0	4	0	0	0	0	0	2	2	0
4767_12508	0	5	2	11	0	0	0	0	0	0	0	0
4767_12932	2	2	2	7	0	0	0	0	0	2	1	0
4767_13356	2	2	2	20	0	0	0	0	0	1	2	0
4767_13780	1	2	1	13	0	0	0	0	0	1	2	0
4767_14204	0	1	0	3	0	0	0	0	0	0	0	0
4767_14628	1	3	0	3	0	0	0	0	0	2	0	0
4767_15052	0	10	0	3	0	0	0	2	0	1	0	0
4767_15476	0	4	3	7	0	0	0	0	0	3	4	0
4767_15900	1	0	1	2	0	1	0	2	0	0	5	0
5221_636	0	0	0	0	0	1	2	0	2	1	0	3
5221_1060	1	0	1	0	0	0	0	0	0	22	0	0
5221_1484	0	0	0	0	0	0	0	0	0	22	0	0
5221_1908	1	0	2	0	0	0	0	0	0	16	0	0
5221_2332	1	0	2	0	0	0	0	0	0	12	0	0
5221_2756	0	0	0	3	0	0	0	0	0	14	0	0
5221_3180	0	0	0	0	0	0	0	0	0	4	0	0
5221_5724	2	0	0	0	0	0	0	0	0	1	0	0
5221_6148	1	0	0	0	0	0	0	0	0	0	0	0
5221_6572	2	0	2	1	0	0	0	0	0	19	0	0
5221_6996	0	0	3	2	0	0	0	0	0	10	0	0
5221_7420	0	0	4	0	0	0	0	0	0	10	0	0
5221_7844	0	0	1	0	0	0	0	0	0	7	0	0
5221_8268	0	0	1	0	0	2	0	0	2	8	2	0
5221_8692	1	0	5	3	0	4	1	1	1	9	1	1
5221_9116	3	1	5	11	0	1	0	0	0	3	2	0
5221_9540	4	0	3	3	0	3	0	1	0	2	0	0
5221_9964	2	1	1	5	0	4	0	1	0	1	0	1
5221_10388	0	1	0	0	0	2	0	0	0	0	1	0
5221_10812	1	3	2	10	0	0	0	0	0	0	0	0
5221_11236	2	1	4	6	0	0	0	0	0	0	2	0
5221_11660	3	3	1	4	0	0	0	0	0	1	2	0
5221_12084	0	0	0	0	0	0	0	0	0	0	1	0
5221_12508	3	3	1	9	0	0	0	1	0	0	1	0
5221_12932	5	5	0	10	0	0	0	0	0	2	1	0
5221_13356	2	2	5	15	0	0	0	0	0	4	0	0
5221_13780	2	1	1	8	0	0	0	0	0	0	1	0
5221_14204	1	4	2	9	0	0	0	0	0	2	0	0
5221_14628	0	1	0	3	0	0	0	0	0	0	0	0
5221_15052	0	1	0	2	0	0	0	0	0	1	0	0
5221_15476	0	6	2	7	0	1	0	0	0	0	2	0
5221_15900	2	2	1	1	0	2	0	0	0	0	3	1
5675_636	0	0	0	0	0	0	0	0	0	3	0	0
5675_1060	7	0	1	0	0	0	0	0	0	16	0	0
5675_1484	1	0	0	0	0	0	0	0	0	16	0	0
5675_1908	0	0	0	0	0	0	0	0	0	20	0	0
5675_2332	6	0	2	0	0	0	0	0	0	15	0	0
5675_2756	4	0	1	1	0	0	0	0	0	13	0	0
