cell	bio_celltype
cell991	Interneuron
cell992	Interneuron
cell993	Neuroblast
cell994	Interneuron
cell995	Astrocytes
cell996	Interneuron
cell997	Interneuron
cell998	Neuroblast
cell999	Neuroblast
cell1000	Interneuron
cell1001	Microglia
cell1002	Interneuron
cell1003	Interneuron
cell1004	Interneuron
cell1005	Interneuron
cell1006	Interneuron
cell1007	Neuroblast
cell1008	Interneuron
cell1009	Interneuron
cell1010	Interneuron
cell1011	Interneuron
cell1012	Interneuron
cell1013	Interneuron
cell1014	Interneuron
cell1015	Interneuron
cell1016	Endothelial cells
cell1017	Neuroblast
cell1018	Interneuron
cell1019	Interneuron
cell1020	Neuroblast
cell1021	Interneuron
cell1022	Neuroblast
cell1023	Interneuron
cell1025	Neuroblast
cell1026	Neuroblast
cell1027	Interneuron
cell1028	Interneuron
cell1029	Interneuron
cell1030	Neuroblast
cell1031	Neuroblast
cell1032	Neuroblast
cell1033	Interneuron
cell1034	Endothelial cells
cell1035	Astrocytes
cell1036	Neuroblast
cell1037	Interneuron
cell1038	Interneuron
cell1039	Neuroblast
cell1040	Interneuron
cell1041	Interneuron
cell1042	Astrocytes
cell1043	Astrocytes
cell1044	Interneuron
cell1045	Interneuron
cell1046	Interneuron
cell1047	Interneuron
cell1048	Interneuron
cell1049	Interneuron
cell1050	Astrocytes
cell1051	Interneuron
cell1052	Interneuron
cell1053	Interneuron
cell1054	Interneuron
cell1055	Neuroblast
cell1056	Interneuron
cell1057	Astrocytes
cell1058	Endothelial cells
cell1059	Interneuron
cell1060	Interneuron
cell1061	Interneuron
cell1062	Astrocytes
cell1063	Interneuron
cell1064	Astrocytes
cell1065	Interneuron
cell1066	Interneuron
cell1067	Neuroblast
cell1068	Interneuron
cell1069	Interneuron
cell1070	Astrocytes
cell1071	Astrocytes
cell1072	Neuroblast
cell1073	Interneuron
cell1074	Interneuron
cell1075	Interneuron
cell1076	Neuroblast
cell1077	Astrocytes
cell1078	Astrocytes
cell1080	Interneuron
cell1081	Neuroblast
cell1082	Neuroblast
cell1083	Interneuron
cell1084	Interneuron
cell1085	Interneuron
cell1086	Interneuron
cell1087	Interneuron
cell1088	Interneuron
cell1089	Interneuron
cell1090	Interneuron
cell1091	Interneuron
cell1092	Interneuron
cell1093	Neuroblast
cell1094	Neuroblast
cell1095	Endothelial cells
cell1096	Neuroblast
cell1097	Neuroblast
cell1098	Interneuron
cell1099	Neuroblast
cell1100	Interneuron
cell1101	Endothelial cells
cell1102	Interneuron
cell1103	Neuroblast
cell1104	Interneuron
cell1105	Neuroblast
cell1106	Interneuron
cell1107	Neuroblast
cell1108	Interneuron
cell1109	Neuroblast
cell1110	Interneuron
cell1111	Interneuron
cell1112	Neuroblast
cell1113	Interneuron
cell1114	Interneuron
cell1115	Interneuron
cell1116	Interneuron
cell1117	Astrocytes
cell1118	Neuroblast
cell1119	Interneuron
cell1121	Neuroblast
cell1122	Interneuron
cell1123	Interneuron
cell1124	Astrocytes
cell1125	Interneuron
cell1126	Neuroblast
cell1127	Interneuron
cell1128	Interneuron
cell1129	Astrocytes
cell1131	Interneuron
cell1132	Astrocytes
cell1133	Astrocytes
cell1134	Interneuron
cell1135	Neuroblast
cell1136	Neuroblast
cell1137	Astrocytes
cell1138	Neuroblast
cell1139	Interneuron
cell1140	Interneuron
cell1141	Interneuron
cell1142	Interneuron
cell1143	Interneuron
cell1144	Interneuron
cell1145	Interneuron
cell1146	Interneuron
cell1147	Interneuron
cell1148	Interneuron
cell1149	Interneuron
cell1150	Astrocytes
cell1151	Interneuron
cell1152	Neuroblast
cell1153	Astrocytes
cell1154	Interneuron
cell1156	Interneuron
cell1157	Interneuron
cell1158	Neuroblast
cell1159	Interneuron
cell1160	Interneuron
cell1161	Interneuron
cell1162	Interneuron
cell1163	Neuroblast
cell1164	Interneuron
cell1165	Astrocytes
cell1166	Interneuron
cell1167	Neuroblast
cell1168	Neuroblast
cell1169	Neuroblast
cell1170	Interneuron
cell1171	Interneuron
cell1172	Interneuron
cell1173	Neuroblast
cell1174	Interneuron
cell1175	Interneuron
cell1176	Interneuron
cell1177	Neuroblast
cell1178	Interneuron
cell1179	Interneuron
cell1180	Interneuron
cell1181	Interneuron
cell1182	Interneuron
cell1183	Neuroblast
cell1184	Neuroblast
cell1185	Interneuron
cell1186	Interneuron
cell1187	Interneuron
cell1188	Interneuron
cell1189	Interneuron
cell1190	Neuroblast
cell1191	Interneuron
cell1192	Interneuron
cell1193	Interneuron
cell1194	Interneuron
cell1195	Interneuron
cell1196	Interneuron
cell1197	Endothelial cells
cell1198	Interneuron
cell1199	Interneuron
cell1200	Interneuron
cell1201	Interneuron
cell1202	Astrocytes
cell1203	Interneuron
cell1204	Interneuron
cell1205	Neuroblast
cell1206	Interneuron
cell1207	Interneuron
cell1208	Interneuron
cell1209	Astrocytes
cell1210	Neuroblast
cell1211	Interneuron
cell1212	Interneuron
cell1213	Interneuron
cell1214	Interneuron
cell1215	Interneuron
cell1216	Interneuron
cell1217	Interneuron
cell1218	Interneuron
cell1219	Microglia
cell1220	Interneuron
cell1221	Interneuron
cell1222	Interneuron
cell1223	Interneuron
cell1224	Interneuron
cell1225	Interneuron
cell1226	Interneuron
cell1227	Interneuron
cell1228	Interneuron
cell1229	Interneuron
cell1230	Interneuron
cell1232	Interneuron
cell1233	Interneuron
cell1234	Interneuron
