spot	x	y	layer_new
12939_5300	12939	5300	1
12939_5724	12939	5724	1
12939_6148	12939	6148	1
12939_6572	12939	6572	1
12939_7420	12939	7420	1
12939_7844	12939	7844	1
12939_8268	12939	8268	1
12939_8692	12939	8692	1
12939_9116	12939	9116	3
12939_9540	12939	9540	3
12939_9964	12939	9964	3
12939_10388	12939	10388	3
12939_10812	12939	10812	3
12939_11236	12939	11236	3
12939_11660	12939	11660	3
12939_12084	12939	12084	3
12939_12508	12939	12508	3
12939_12932	12939	12932	3
12939_13356	12939	13356	3
12939_13780	12939	13780	3
12939_14204	12939	14204	3
12939_14628	12939	14628	3
12939_15052	12939	15052	3
12939_15476	12939	15476	3
13393_212	13393	212	2
13393_636	13393	636	2
13393_1060	13393	1060	2
13393_1908	13393	1908	2
13393_2332	13393	2332	2
13393_2756	13393	2756	2
13393_3180	13393	3180	2
13393_3604	13393	3604	2
13393_4028	13393	4028	2
13393_4876	13393	4876	1
13393_5300	13393	5300	1
13393_5724	13393	5724	1
13393_6148	13393	6148	1
13393_6572	13393	6572	1
13393_7420	13393	7420	1
13393_7844	13393	7844	1
13393_8268	13393	8268	1
13393_8692	13393	8692	1
13393_9116	13393	9116	2
13393_9540	13393	9540	3
13393_9964	13393	9964	3
13393_10388	13393	10388	3
13393_10812	13393	10812	3
13393_11236	13393	11236	3
13393_11660	13393	11660	3
13393_12084	13393	12084	3
13393_12508	13393	12508	3
13393_12932	13393	12932	3
13393_13356	13393	13356	3
13393_13780	13393	13780	3
13393_14204	13393	14204	3
13393_14628	13393	14628	3
13393_15052	13393	15052	3
13847_212	13847	212	2
13847_636	13847	636	2
13847_1484	13847	1484	2
13847_1908	13847	1908	2
13847_2332	13847	2332	2
13847_2756	13847	2756	2
13847_3180	13847	3180	2
13847_3604	13847	3604	2
13847_4876	13847	4876	1
13847_6996	13847	6996	1
13847_7420	13847	7420	1
13847_7844	13847	7844	1
13847_8268	13847	8268	1
13847_8692	13847	8692	1
13847_9540	13847	9540	2
13847_9964	13847	9964	3
13847_10388	13847	10388	3
13847_10812	13847	10812	3
13847_11236	13847	11236	3
13847_11660	13847	11660	3
13847_12084	13847	12084	3
13847_12508	13847	12508	3
13847_12932	13847	12932	3
13847_13356	13847	13356	3
13847_13780	13847	13780	3
13847_14204	13847	14204	3
13847_14628	13847	14628	2
14301_212	14301	212	2
14301_636	14301	636	2
14301_1060	14301	1060	2
14301_1484	14301	1484	2
14301_1908	14301	1908	2
14301_2332	14301	2332	2
14301_2756	14301	2756	2
14301_3180	14301	3180	2
14301_3604	14301	3604	2
14301_4452	14301	4452	1
14301_4876	14301	4876	1
14301_5724	14301	5724	1
14301_6148	14301	6148	1
14301_6572	14301	6572	1
14301_6996	14301	6996	1
14301_7420	14301	7420	1
14301_7844	14301	7844	1
14301_8268	14301	8268	1
14301_8692	14301	8692	1
14301_9116	14301	9116	1
14301_9540	14301	9540	1
14301_9964	14301	9964	1
14301_10388	14301	10388	1
14301_10812	14301	10812	1
14301_11236	14301	11236	2
14301_11660	14301	11660	3
14301_12084	14301	12084	3
14301_12508	14301	12508	3
14301_12932	14301	12932	3
14301_13356	14301	13356	3
14301_13780	14301	13780	3
14755_212	14755	212	2
14755_636	14755	636	2
14755_1060	14755	1060	2
14755_1484	14755	1484	2
14755_1908	14755	1908	2
14755_2332	14755	2332	2
14755_2756	14755	2756	2
14755_3180	14755	3180	2
14755_3604	14755	3604	2
14755_4452	14755	4452	1
14755_4876	14755	4876	1
14755_5300	14755	5300	1
14755_5724	14755	5724	1
14755_6148	14755	6148	1
14755_6572	14755	6572	1
14755_6996	14755	6996	1
14755_7420	14755	7420	1
14755_7844	14755	7844	1
14755_8268	14755	8268	1
14755_8692	14755	8692	1
14755_9116	14755	9116	1
14755_9540	14755	9540	1
14755_9964	14755	9964	1
14755_10388	14755	10388	1
14755_10812	14755	10812	1
14755_11236	14755	11236	1
15209_212	15209	212	2
15209_636	15209	636	2
